what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1334110519265
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1334110519286
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1334110519286
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1334110519286
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1334110519304
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1334110519305
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1334110519305
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1334110519399
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1334110519400
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1334110519450
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1334110519521
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1334110519597
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1334110519597
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1334110519671
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1334110519723
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1334110519826
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1334110519904
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1334110519964
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1334110519990
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1334110519991
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1334110519991
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1334110519992
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1334110520069
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1334110520071
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1334110520129
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1334110520130
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1334110520130
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1334110520130
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1334110520131
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1334110520219
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1334110520277
os,sysinfo,,,"macosx",1334110520281
arch,sysinfo,,,"x86_64",1334110520281
ws,sysinfo,,,"cocoa",1334110520281
locale,sysinfo,,,"en_US",1334110520281
processors,sysinfo,,,"8",1334110520281
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1334110520281
java.runtime.version,sysinfo,,,"1.6.0_31-b04-414-11M3626",1334110520281
java.specification.name,sysinfo,,,"Java Platform API Specification",1334110520281
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334110520281
java.specification.version,sysinfo,,,"1.6",1334110520281
java.vendor,sysinfo,,,"Apple Inc.",1334110520281
java.version,sysinfo,,,"1.6.0_31",1334110520281
java.vm.info,sysinfo,,,"mixed mode",1334110520281
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1334110520281
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1334110520281
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1334110520281
java.vm.specification.version,sysinfo,,,"1.0",1334110520281
java.vm.vendor,sysinfo,,,"Apple Inc.",1334110520281
java.vm.version,sysinfo,,,"20.6-b01-414",1334110520281
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1334110520285
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1334110520292
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1334110520387
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1334110520391
started,bundle,org.eclipse.jdt.apt.core,3.3.500.v20110420-1015,"org.eclipse.jdt.apt.core",1334110520591
