what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1333816000926
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1333816000926
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1333816000928
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1333816000929
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1333816000930
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1333816000931
os,sysinfo,,,"macosx",1333816000937
arch,sysinfo,,,"x86_64",1333816000938
ws,sysinfo,,,"cocoa",1333816000938
locale,sysinfo,,,"en_US",1333816000938
processors,sysinfo,,,"8",1333816000938
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1333816000938
java.runtime.version,sysinfo,,,"1.6.0_29-b11-402-11D50b",1333816000938
java.specification.name,sysinfo,,,"Java Platform API Specification",1333816000938
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333816000938
java.specification.version,sysinfo,,,"1.6",1333816000938
java.vendor,sysinfo,,,"Apple Inc.",1333816000938
java.version,sysinfo,,,"1.6.0_29",1333816000938
java.vm.info,sysinfo,,,"mixed mode",1333816000938
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1333816000938
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1333816000938
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1333816000938
java.vm.specification.version,sysinfo,,,"1.0",1333816000938
java.vm.vendor,sysinfo,,,"Apple Inc.",1333816000938
java.vm.version,sysinfo,,,"20.4-b02-402",1333816000938
started,bundle,org.eclipse.m2e.usagedata,1.0.200.20111228-1245,"org.eclipse.m2e.usagedata",1333816000942
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1333816001414
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1333816001422
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1333816001467
started,bundle,org.eclipse.dltk.core,3.0.1.v20110823,"org.eclipse.dltk.core",1333816001502
started,bundle,org.eclipse.dltk.launching,3.0.0.v20110423,"org.eclipse.dltk.launching",1333816001520
started,bundle,org.eclipse.dltk.ui,3.0.1.v20110823,"org.eclipse.dltk.ui",1333816001523
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.utils",1333816001531
started,bundle,org.eclipse.emf.common,2.7.0.v20120127-1122,"org.eclipse.emf.common",1333816001545
started,bundle,org.eclipse.pde.core,3.7.1.v20110822-2108,"org.eclipse.pde.core",1333816001565
started,bundle,org.eclipse.libra.facet,0.1.1.201109131144,"org.eclipse.libra.facet",1333816001566
error,log,,,"Bad extension specification",1333816001566
error,log,,,"startup class must implement org.eclipse.ui.IStartup",1333816001568
started,bundle,org.eclipse.emf.ecore,2.7.0.v20120127-1122,"org.eclipse.emf.ecore",1333816001583
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1333816001665
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1333816001731
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1333816001735
started,bundle,com.android.ide.eclipse.ddms,12.0.0.v201106281929-138431,"com.android.ide.eclipse.ddms",1333816006661
started,bundle,org.eclipse.wst.sse.core,1.1.601.v201108151912,"org.eclipse.wst.sse.core",1333816006702
started,bundle,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.adt",1333816006704
started,bundle,com.android.ide.eclipse.traceview,12.0.0.v201106281929-138431,"com.android.ide.eclipse.traceview",1333816006710
started,bundle,org.python.pydev.core,2.4.0.2012020116,"org.python.pydev.core",1333816006753
started,bundle,org.python.pydev.debug,2.4.0.2012020116,"org.python.pydev.debug",1333816006755
started,bundle,com.python.pydev.analysis,2.4.0.2012020116,"com.python.pydev.analysis",1333816006794
started,bundle,org.python.pydev,2.4.0.2012020116,"org.python.pydev",1333816006815
started,bundle,org.eclipse.debug.ui,3.7.101.v20110817_r371,"org.eclipse.debug.ui",1333816006856
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1333816006948
